Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
88,6.066243675,0.013346925,67108864,F,F,,HS CAN,,75C,F,F,06,61,A0,C0,00,C0,01,00,,,
89,6.069711775,0.0034681,67108864,F,F,,HS CAN,,754,F,F,02,21,C0,00,00,00,00,00,,,
90,6.086595725,0.01688395,67108864,F,F,,HS CAN,,75C,F,F,06,61,C0,00,00,00,01,00,,,
91,6.089876275,0.00328055,67108864,F,F,,HS CAN,,754,F,F,02,21,E0,00,00,00,00,00,,,
92,6.106199875,0.0163236,67108864,F,F,,HS CAN,,75C,F,F,06,61,E0,C0,00,00,00,00,,,
93,6.310127125,0.20392725,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
94,6.326657175,0.01653005,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
95,6.3273991,0.000741925,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
96,6.3465341,0.019135,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
97,6.350571375,0.004037275,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
98,6.36621365,0.015642275,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
99,6.369653925,0.003440275,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
100,6.387490425,0.0178365,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
101,6.3914364,0.003945975,67108864,F,F,,HS CAN,,754,F,F,02,21,14,00,00,00,00,00,,,
102,6.406441875,0.015005475,67108864,F,F,,HS CAN,,75C,F,F,05,61,14,00,12,7C,00,00,,,
103,6.410588325,0.00414645,67108864,F,F,,HS CAN,,754,F,F,02,21,15,00,00,00,00,00,,,
104,6.4261416,0.015553275,67108864,F,F,,HS CAN,,75C,F,F,03,61,15,20,00,00,00,00,,,
105,6.429926025,0.003784425,67108864,F,F,,HS CAN,,754,F,F,02,21,16,00,00,00,00,00,,,
106,6.446905825,0.0169798,67108864,F,F,,HS CAN,,75C,F,F,03,61,16,03,00,00,00,00,,,
107,6.4500162,0.003110375,67108864,F,F,,HS CAN,,754,F,F,02,21,18,00,00,00,00,00,,,
108,6.4662902,0.016274,67108864,F,F,,HS CAN,,75C,F,F,04,61,18,00,00,00,00,00,,,
109,6.46978825,0.00349805,67108864,F,F,,HS CAN,,754,F,F,02,21,19,00,00,00,00,00,,,
110,6.4866542,0.01686595,67108864,F,F,,HS CAN,,75C,F,F,07,61,19,00,00,02,02,00,,,
111,6.492344425,0.005690225,67108864,F,F,,HS CAN,,754,F,F,02,21,1C,00,00,00,00,00,,,
112,6.506194525,0.0138501,67108864,F,F,,HS CAN,,75C,F,F,10,1C,61,1C,02,05,02,01,,,
113,6.5069356,0.000741075,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
114,6.5262064,0.0192708,67108864,F,F,,HS CAN,,75C,F,F,21,01,02,01,00,01,01,01,,,
115,6.536394225,0.010187825,67108864,F,F,,HS CAN,,75C,F,F,22,00,01,00,01,00,01,00,,,
116,6.54651,0.010115775,67108864,F,F,,HS CAN,,75C,F,F,23,01,00,01,01,00,00,01,,,
117,6.556237675,0.009727675,67108864,F,F,,HS CAN,,75C,F,F,24,01,00,00,00,00,00,00,,,
118,6.5666918,0.010454125,67108864,F,F,,HS CAN,,754,F,F,02,21,1D,00,00,00,00,00,,,
119,6.5802268,0.013535,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,1D,02,E1,02,D5,,,
120,6.58096685,0.00074005,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
121,6.600283275,0.019316425,67108864,F,F,,HS CAN,,75C,F,F,21,02,DF,00,00,00,00,00,,,
122,6.604062075,0.0037788,67108864,F,F,,HS CAN,,754,F,F,02,21,23,00,00,00,00,00,,,
